quarter,year,revenue,cost_of_goods,gross_profit,operating_expenses,net_income,total_assets,total_liabilities,cash_flow,employee_count,customer_count
Q1,2022,1250000,750000,500000,320000,180000,4500000,2100000,220000,45,1200
Q2,2022,1380000,810000,570000,335000,235000,4700000,2150000,280000,48,1350
Q3,2022,1420000,840000,580000,340000,240000,4900000,2200000,290000,50,1480
Q4,2022,1650000,950000,700000,380000,320000,5200000,2300000,380000,52,1620
Q1,2023,1520000,890000,630000,360000,270000,5100000,2250000,320000,55,1550
Q2,2023,1680000,970000,710000,390000,320000,5400000,2350000,370000,58,1720
Q3,2023,1750000,1010000,740000,400000,340000,5600000,2400000,400000,60,1850
Q4,2023,2050000,1150000,900000,450000,450000,6100000,2550000,520000,63,2100
Q1,2024,1850000,1050000,800000,420000,380000,5900000,2500000,440000,65,1950
Q2,2024,1980000,1120000,860000,440000,420000,6200000,2600000,490000,68,2200
Q3,2024,2100000,1180000,920000,460000,460000,6500000,2700000,530000,70,2350
Q4,2024,2450000,1350000,1100000,510000,590000,7000000,2850000,670000,75,2650
Q1,2025,2200000,1230000,970000,480000,490000,6800000,2750000,560000,78,2450
Q2,2025,2380000,1320000,1060000,500000,560000,7200000,2900000,630000,80,2680
Q3,2025,2500000,1380000,1120000,520000,600000,7500000,3000000,680000,82,2850
Q4,2025,2900000,1580000,1320000,580000,740000,8100000,3200000,840000,88,3200
Q1,2026,2600000,1440000,1160000,540000,620000,7800000,3100000,710000,90,2950
Q2,2026,2780000,1530000,1250000,560000,690000,8200000,3250000,780000,92,3150
Q3,2026,2950000,1620000,1330000,580000,750000,8600000,3400000,850000,95,3400
Q4,2026,3400000,1850000,1550000,650000,900000,9200000,3600000,1020000,100,3800
Q1,2027,3050000,1680000,1370000,610000,760000,8900000,3500000,860000,102,3550
Q2,2027,3280000,1790000,1490000,640000,850000,9400000,3650000,960000,105,3800
Q3,2027,3500000,1900000,1600000,670000,930000,9800000,3800000,1050000,108,4100
Q4,2027,4050000,2180000,1870000,740000,1130000,10500000,4050000,1280000,115,4600
